question_category,number,question_type,question,answer,law_or_source,article_or_section
Civic Education,141,Open-ended,တိုင်းရင်းသား ရေးရာ၀်ကြီး ဆိုတာ ဘာလဲ။,တိုင်းရင်းသား လူမျိုးစုတစုဟာ မြန်မာနိုင်ငံ အမျိုးသားလူဦးရေရဲ့၀၁ ရာခိုင်နှုန်း အနည်းဆုံးရှိရာ သက်ဆိုင်ရာ ပြည်နယ်များနဲ့ တိုင်းဒေသကြီးများမှာ ရွေးကောက်ပွဲများအတွင်း ရွေးချယ် တင်မြှောက် ခံရမည့်သူများ ဖြစ်ပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း ၄ ပုဒ်မ ၁၆၁ (ခ) နဲ့ (ဂ)၊ ပုဒ်မ ၂၆၂ (ဂ)
Civic Education,142,Open-ended,တိုင်းရင်းသားရေးရာ၀်ကြီး ဘယ်နှစ်ဦးရှိလဲ။,စုစုပေါင်း (၂၉) ဦး ရှိပါတယ်။ ဧရ၀ီ တိုင်းဒေသကြီးမှာ ၂ ဦး၊ ပဲခူးတိုင်းဒေသကြီးမှာ ၁ ဦး၊ ကချင်ပြည်နယ်မှာ ၄ ဦး၊ ကရင်ပြည်နယ်မှာ ၃ ဦး၊ ကယားပြည်နယ်မှာ ၁ ဦး၊ မကွေးတိုင်းဒေသကြီးမှာ ၁ ဦး၊ မန္တလေး တိုင်းဒေသကြီးမှာ ၁ ဦး၊ မွန်ပြည်နယ်မှာ ၃ ဦး၊ ရခိုင်ပြည်နယ်မှာ ၁ ဦး၊ စစ်ကိုင်းတိုင်း ဒေသကြီးမှာ ၂ ဦး၊ ရှမ်းပြည်နယ်မှာ ၇ ဦး၊ တနင်္သာရီတိုင်းဒေသကြီးမှာ ၁ ဦး၊ ရန်ကုန်တိုင်း ဒေသကြီးမှာ ၂ ဦး ဖြစ်ပါတယ်။,တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်လွှတ်တော် ရွေးကောက်ပွဲဥပဒေ,အခန်း ၂၊ အပိုဒ် ၃ (က၊ ခ၊ ဂ)
Civic Education,143,Open-ended,တိုင်းရင်းသားရေးရာ၀်ကြီးဌာန အရေအတွက်ကို ဘယ်သူက ဆုံးဖြတ်သလဲ။,လ၀်မှုကြီးကြပ်ရေးနှင့် ပြည်သူ့အင်အား၀်ကြီးဌာနဟာ တိုင်းရင်းသားရေးရ၀်ကြီး ရွေးကောက်ပွဲအတွင် အချက်အလက်များ၊ တိုင်းရင်းသားလူမျိုးစု မည်ရွေ့မည်မျှက မည်သည့်နေရာတွင် ရှိကြသည် ဆိုခြင်းကို ကူညီပံ့ပိုးကာ၊ အကယ်၍ ပြည်နယ် (သို့မဟုတ်) တိုင်းဒေသကြီး တခုမှာ တိုင်းရင်းသားရေးရာ၀်ကြီးဌာန ထားရှိရန် ဆန္ဒမဲပေးသူ အရေအတွက် လုံလုံလောက်လောက် ရှိပါက ပြည်ထောင်စုရွေးကောက်ပွဲ ကော်မရှင်ကို တိုင်းရင်းသားရေးရာ၀်ကြီး ထားရှိရေး ပြဌာန်းပေးရန် ခွင့်ပြုရပါမယ်။,,ရွေးကောက်ပွဲ လုပ်ငန်းလမ်းညွန်
VoterList,144,Yes/No,မဲဆန္ဒရှင်စာရင်းမှာ မိမိဘယ် တိုင်းရင်းသားလူမျိုးဖြစ်ကြောင်း ဖော်ပြထားလား။,တိုင်းရင်းသား လူမျိုးရေးရာ အသေးစိတ် အချက်အလက်များကို ပုံမှန် မဲဆန္ဒရှင် စာရင်းများမှာ ထည့်သွင်းမှာ မဟုတ်ပဲ၊ ပြည်ထောင်စု ရွေးကောက်ပွဲ ကော်မရှင်က တိုင်းရင်းသားလူမျိုး ရေးရာ၀်ကြီး ရွေးကောက်ပွဲအတွက် ပုံစံ ၁-က နဲ့ သီးသန့် မဲဆန္ဒရှင် စာရင်းကို ပြုစုသွားမှာ ဖြစ်ပါတယ်။,,
ElectionGeneral,145,Yes/No,လူတယောက်က မှတ်ပုံတင် (သို့မဟုတ်) အိမ်ထောင်စုဇယားမှာ တိုင်းရင်းသားလူမျိုးဖြစ်မှု တခုထက် မက ပါရှိတယ် ဆိုရင် အမည်က တခုထက်ပိုတဲ့ မဲဆန္ဒရှင်စာရင်းမှာ ပါမှာလား။ တိုင်းရင်းသားလွှတ်တော် ကိုယ်စားလှယ်တဦးထက်ပိုပြီး၊ ဆန္ဒမဲပေးနိုင်မှာလား။,မရပါ။ ဆန္ဒမဲပေးခွင့်ရှိသူတိုင်းဟာ တိုင်းရင်းသားရေးရာ၀်ကြီးတဦးသာလျှင် ရွေးကောက် တင်မြှောက်ရပါမယ်။,တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်လွှတ်တော် ရွေးကောက်ပွဲဥပဒေ,အပိုဒ် ၄၄
VoterList,146,Yes/No,ကိုယ့်အမည်က တိုင်းရင်းသားလူမျိုး၀်ကြီး ရွေးချယ်ဖို့အတွက် မဲဆန္ဒရှင် စာရင်းမှာ မပါရှိခြင်း (သို့) အသေးစိတ်အချက်များ မှန်ကန်မှု မရှိခြင်းများ ရှိရင် ကန့်ကွက်နိုင်ပါသလား။,ကန့်ကွက်နိုင်ပါတယ်။ အမှားပြင်ဆင်ခြင်းနဲ့ ကန့်ကွက်ခြင်းများကို ပုံစံ ၃၊ ၄-ခ နဲ့ ၄ တို့နဲ့ ပုံမှန်မဲဆန္ဒရှင် စာရင်း အတိုင်း ဆောင်ရွက်နိုင်ပါတယ်။,,
ElectionGeneral,147,Open-ended,ကိုယ့်မှတ်ပုံတင် ကဒ်မှာ ဖော်ပြထားတဲ့ တိုင်းရင်းသားလူမျိုးအမည် မှားယွင်းနေပါက ဘယ်လိုဖြစ်မှာလဲ။,မှတ်ပုံတင်ကဒ်ကို ရွေးကောက်ပွဲများ မတိုင်မီ ပြန်လည် လဲလှယ်ထားရပါမယ်။,,
HowtoVote,148,Yes/No,တိုင်းရင်းသား ရေးရာ၀်ကြီး ရွေးကောက်တင်မြှောက်ရမယ့် မဲလက်မှတ်က သီးခြားရှိလား။,သီးခြား ဖြစ်ပါတယ်။ မဲလက်မှတ်ပေါ်မှာ ပြည်ထောင်စု ရွေးကောက်ပွဲကော်မရှင်က လက်ခံမှတ်ပုံတင် ခွင့်ပြုထားသော ကိုယ်စားလှယ်များအားလုံး ပ၀်ပါတယ်။,,
ElectionGeneral,149,Open-ended,တိုင်းရင်းသား ရေးရာ၀်ကြီး ရွေးကောက်ပွဲအတွက် မဲဆန္ဒနယ်က ဘာတွေလဲ။,မဲဆန္ဒနယ်က ပြည်နယ် (သို့မဟုတ်) တိုင်းဒေသကြီး တခုနဲ့ တူညီပါတယ်။,,
Civic Education,151,Open-ended,ပြည်ထောင်စုဝန်ကြီးများအား မည်သို့ရွေးချယ်သလဲ။,နိုင်ငံတော်သမ္မတမှ ရွေးချယ်ပြီး ပြည်ထောင်စုလွှတ်တော်၏ သဘောတူညီချက်ကို ရယူရပါမည်။ ကာကွယ်ရေး၊ ပြည်ထဲရေးနှင့် နယ်စပ်ရေးရာဝန်ကြီးဌာနများအတွက် တပ်မတော်ကာကွယ်ရေးဦးစီးချုပ်ထံမှ သင့်လျော်သည့် တပ်မတော်သားအမည်စာရင်းကို ရယူကာ  ပြည်ထောင်စုလွှတ်တော်၏ သဘောတူညီချက်ကို ရယူရပါမည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၅)၊ ပုဒ်မ ၂၃၂
Civic Education,152,Open-ended,တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်ဝန်ကြီးချုပ်အား မည်သို့ရွေးချယ်သလဲ,နိုင်ငံတော်သမ္မတမှ တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ် လွှတ်တော်မှ ရွေးချယ်ထားသည့် လွှတ်တော်ကိုယ်စားလှယ်အား သက်ဆိုင်ရာ တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်ဝန်ကြီးချုပ်ခန့်အပ်တာဝန်ပေးရန် သက်ဆိုင်ရာ တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်ဝန်ကြီးချုပ်မှ အတည်ပြုရမည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၂၆၁
Civic Education,154,Open-ended,မြန်မာနိုင်ငံတွင် မြို့နယ်ဘယ်နှခုရှိသလဲ,ပြည်သူ့လွှတ်တော်အား ရွေးချယ်တင်မြှောက်ရန်အတွက် မြို့နယ်ပေါင်း ၃၃၀မှ ရွေးချယ်ခဲ့ရာ မြို့နယ်ပေါင်း ၃၃၀ုမြန်မာနိုင်ငံတွင်ရှိပါသည်။,,
HowtoVote,155,,မဲပေးနေစဉ် ပါတီတံဆိပ်ပါ တီရှပ်၊ ရင်ထိုး၊ ဦးထုပ်များယူဆောင်ဝတ်ဆောင်လို့ရပါသလား။,မရပါ။,,
HowtoVote,156,Yes/No,မဲပြားတွင်မဲပေးရန်အတွက် ဘောပင်ယူဆောင်ရပါမည်လား။,မရပါ။ မဲပြားပေါ်တွင် တ၇ားဝင် ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင်မှ တံဆိပ်ရိုက်နှိပ်ပြီးသားဖြစ်ပါသည်။,,
Civic Education,158,Open-ended,နိုင်ငံတော် အကြီးအကဲမှာဘယ်သူလဲ။,နိုင်ငံတော် သမ္မတဖြစ်ပါတယ်,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၅၈
Civic Education,159,Open-ended,ဥပဒေပြုရန်အတွက်မည်သူတွင် အာဏာရရှိသနည်း။,လွှတ်တော်တွင် ဥပဒေပြုရန်အတွက် ပဏာမအာဏာရှိပါသည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၉၆ နှင့် ပုဒ်မ ၁၈၈
Civic Education,160,Open-ended,လွှတ်တော် ဘယ်နှစ်ရပ်ရှိသလဲ။,ပြည်ထောင်စုအဆင့်တွင် လွှတ်တော် ၃ ရပ်ရှိပါသည်။ အမျိုးသားလွှတ်တော်နှင့် ပြည်သူ့လွှတ်တော်၊ ထိုလွှတ်တော်နှစ်ရပ်ပေါင်းကာ ပြည်ထောင်စုလွှတ်တော်စသည့် လွှတ်တော် ၃ ရပ်ရှိပါသည်။ တိုင်းဒေသကြီးနှင့် ပြည်နယ်အသီးသီးတွင်လည်း လွှတ်တော်ထားရှိပါသည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၉၆ နှင့် ပုဒ်မ ၁၈၈
Civic Education,161,Open-ended,တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်ဝန်ကြီးချုပ်မှ ဘယ်လိုအရည်အချင်းရှိဖို့လိုသလဲ။,အသက် သုံးဆယ့်ငါးနှစ် ပြည့်ပြီးသူ၊ အသက်ကန့်သတ်ချက်မှအပ ပြည်သူ့လွှတ်တော်ကိုယ်စားလှယ်များ အတွက် သတ်မှတ်ထားသည့် အရည်အချင်းများနှင့် ပြည့်စုံသူ၊ ပြည်သူ့လွှတ်တော် ကိုယ်စားလှယ်များအဖြစ် ရွေးကောက်တင်မြှောက်ခံပိုင်ခွင့် မရှိစေသော ပြဌာန်းချက်များနှင့်လည်း ငြိစွန်းခြင်း မရှိသူ၊,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၂၆၁
VoterList,162,,ရွေးကောက်ပွဲနေ့တွင် မိမိအမည် မဲဆန္ဒရှင်စာရင်းတွင် မပါဝင်ပါက မည်သို့လုပ်ဆောင်ရပါမည်နည်း။,မဲစာရင်းတွင် မိမိအမည် ပါဝင်မှု သေချာစေရန် ရွေးကောက်ပွဲရက် မတိုင်မီ တတ်နိုင်သမျှစောစော ရပ်ကွက်/ကျေးရွာအုပ်စု ကော်မရှင်အဖွဲ့ခွဲရုံးတွင် သက်ဆိုင်ရာ ပုံစံများကိုဖြည့်စွတ်ပါ။ ရွေးကောက်ပွဲနေ့တွင် မိမိအမည် မဲဆန္ဒရှင်စာရင်းတွင် မပါဝင်ပါက၊ ဆန္ဒမဲပေးခွင့်ရမည် မဟုတ်ပါ။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,
ElectionGeneral,163,,ရွေးကောက်ပွဲနေ့က ဘယ်နေ့လဲ။,၂၀၁၅ နိုဝင်ဘာ ၈ (တနင်္ဂနွေ)နေ့,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် အသိပေးချက်ထုတ်ပြန်ကြေငြာခြင်း,
Civic Education,164,Open-ended,အမျိုးသားလွှတ်တော်နှင့် ပြည်သူ့လွှတ်တော်အကြား ကွဲပြားမှုကဘာလဲ,အမျိုးသားလွှတ်တော်ဆိုသည်မှာ တိုင်းဒေသကြီးနှင့် ပြည်နယ်ကိုအခြေခံကာ နယ်မြေ ၁၂နယ်ကိုကိုယ်စားပြုရပါသည်။ ပြည်သူ့လွှတ်တော်ဆိုသည်မှာ မြို့နယ်ကိုအခြေခံကာ ကိုယ်စားပြုရပါသည်။ ၎င်းတို့နှစ်ရပ်အား ပြည်ထောင်စုလွှတ်တော်ဟုခေါ်ပါသည်။ ,ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၇၄
HowtoVote,165,Open-ended,မဲပေးပြီးနောက်တွင် ဘာကြောင့် မင်တို့ခြင်းခံရရန်လိုအပ်သလဲ,မင်တို့ခြင်းမှာ လူတစ်ဦးသည် မဲပေးပြီးနောက် နှစ်ကြိမ်မဲပေးခြင်းမှ ကာကွယ်ခြင်းဖြစ်သည်။,ပြည်သူ့လွှတ်တော်နည်းဥပဒေ,လွှတ်တော်ဥပဒေ အပိုဒ် ၄၁ (ဂ)
HowtoVote,166,Open-ended,မိမိဆန္ဒမဲပေးရန် မည်သည့်နေရာကိုသွားရမည်နည်း။,မဲဆန္ဒရှင်များ ဆန္ဒမဲပေးနိုင်ရန် သက်ဆိုင်ရာ ရပ်ကွက်/ကျေးရွာအုပ်စု ကော်မရှင်အဖွဲ့ခွဲမှ မဲရုံများသတ်မှတ်ပေးပါလိမ့်မည်။,,
HowtoVote,167,Open-ended,မဲဆန္ဒရှင်သက်သေခံလက်မှတ် ဆိုတာဘာလဲ။,ရပ်ကွက်/ကျေးရွာအုပ်စု ကော်မရှင်အဖွဲ့ခွဲမှ ရွေးကောက်ပွဲနေ့မတိုင်မီ တစ်ပတ်အလိုတွင် မဲဆန္ဒရှင်များအား မဲဆန္ဒရှင်သက်သေခံလက်မှတ် ထုတ်ပေးရပါမည်။ မဲဆန္ဒရှင်သက်သေခံလက်မှတ်တွင် မဲဆန္ဒစာရင်းမှ မဲဆန္ဒရှင်၏ သတင်းအချက်အလက်များကို ဖြည့်စွတ်ရပါမည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄
HowtoVote,168,Open-ended,မိမိအနေဖြင့် မဲဆန္ဒရှင်သက်သေခံလက်မှတ် မရပါက မည်သို့ဖြစ်မည်နည်း။,မဲဆန္ဒရှင် အနေဖြင့် မဲဆန္ဒရှင်သက်သေခံလက်မှတ် မရရှိသော်လည်း၊ မဲဆန္ဒရှင်စာရင်းတွင် မိမိအမည်ပါရှိပါက မဲပေးခွင့်ရှိပါသည်။ အလေးအနက်အကြံပြုလိုသည်မှာ မဲဆန္ဒရှင်အနေဖြင့် မဲဆန္ဒရှင်စာရင်းတွင် ပါဝင်သူဖြစ်ကြောင်းသက်သေပြနိုင်ရန် အခြားသောခိုင်လုံသည့်သက်သေခံပုံစံတစ်ခု ယူဆောင်သွားသင့်ပါသည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄၊ အခန်း ၃.၂ (၂)
HowtoVote,169,Yes/No,မဲရုံတွင် ဆန္ဒမဲပေးရန်အတွက် သက်သေခံအထောက်အထားတစ်ခုခု ယူဆောင်သွားရပါမည်လား။,မလိုအပ်ပါ။ ဥပဒေအရ မဲဆန္ဒရှင်များ အနေဖြင့် မည်သည့် သက်သေအထောက်အထားမှ ယူလာရန်မလိုအပ်ပါ။ မဲဆန္ဒရှင်စာရင်းတွင် အမည်စာရင်းပါဝင်ပါက မဲပေးခွင့်ရမည်ဖြစ်ပါသည်။ သို့သော် အလေးထားအကြံပြုလိုသည်မှာ မဲဆန္ဒရှင်များအနေဖြင့် မဲဆန္ဒရှင်သက်သေခံလက်မှတ်ကို တစ်ပါတည်းယူဆောင်သွားသင့်ပါသည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄၊ အခန်း ၃.၁ (၂)
HowtoVote,170,Open-ended,မဲဆန္ဒရှင်သက်သေခံလက်မှတ်တွင် ဘာတွေပါဝင်ပါသလဲ။,မဲဆန္ဒရှင်သက်သေခံလက်မှတ်အား ရပ်ကွက်/ကျေးရွာအုပ်စု ကော်မရှင်အဖွဲ့ခွဲမှ ပြင်ဆင်ပေးပြီး၊ မဲဆန္ဒရှင် ဆန္ဒမဲပေးရမည့် မဲရုံအမှတ်နှင့် မဲစာရင်းအမှတ်စဉ်တို့ပါဝင်ပါသည်။ ထိုအပြင် မဲဆန္ဒရှင်အမည်၊ ကျား/မ၊ မွေးသက္ကရာဇ်၊ မိဘအမည်များနှင့် နေရပ်လိပ်စာတို့လည်း ပါဝင်ပါသည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄
HowtoVote,171,Open-ended,မိမိ၏ မဲဆန္ဒရှင်သက်သေခံလက်မှတ်တွင် အချက်အလက်များ မမှန်ကန်ပါက မည်သို့လုပ်ဆောင်ရမည်နည်း။,မိမိ၏ မဲဆန္ဒရှင်သက်သေခံလက်မှတ်တွင် အချက်အလက်များ မမှန်ကန်ပါက ရပ်ကွက်/ကျေးရွာအုပ်စု ကော်မရှင်အဖွဲ့ခွဲသို့ အကြောင်းကြားရပါမည်။ ရွေးကောက်ပွဲနေ့တွင်ပင် အချက်အလက်များ ဆက်လက်မှားယွင်းနေပါက၊ မဲရုံမှူးသို့ အကြောင်းကြားရပါမည်။ မဲဆန္ဒရှင်သက်သေခံလက်မှတ်တွင် အနည်းငယ်မှားယွင်းရုံဖြင့် မဲပေးခွင့် မဆုံးရှုံးနိုင်ပါ။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄ (၉)
HowtoVote,172,Open-ended,မိမိ၏ မဲဆန္ဒရှင်သက်သေခံလက်မှတ် ပျောက်ဆုံးပါက မည်သို့လုပ်ဆောင်ရမည်နည်း။,မဲဆန္ဒရှင် အနေဖြင့် မဲဆန္ဒရှင်သက်သေခံလက်မှတ် ပျောက်ဆုံးသော်လည်း၊ မဲဆန္ဒရှင်စာရင်းတွင် မိမိအမည်ပါရှိပါက ဆန္ဒမဲပေးခွင့်ရှိပါသည်။ အလေးအနက်အကြံပြုလိုသည်မှာ မဲဆန္ဒရှင်အနေဖြင့် မဲဆန္ဒရှင်စာရင်းတွင် ပါဝင်သူဖြစ်ကြောင်းသက်သေပြနိုင်ရန် အခြားသောခိုင်လုံသည့်သက်သေခံပုံစံတစ်ခု ယူဆောင်သွားသင့်ပါသည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၆.၄ (၁၁)
HowtoVote,173,Open-ended,ရွေးကောက်ပွဲနေ့တွင် မဲဆန္ဒရှင်စာရင်းတွင်ပါဝင်သော အချက်အလက်များမမှန်ကန်ပါက မည်သို့ဖြစ်မည်နည်း။,ရွေးကောက်ပွဲနေ့တွင် မိမိ၏ မဲဆန္ဒရှင်စာရင်းပါ သတင်းအချက်အလက်များမှားယွင်းနေပါက ဆန္ဒမဲပေးခွင့်မပြုမှီ မိမိအနေဖြင့် မဲဆန္ဒရှင်စာရင်းပါသူဖြစ်ကြောင်း သက်သေပြရန် လိုအပ်ပါလိမ့်မည်။ ဆန္ဒမဲပေးခွင့်ပြု/မပြုဆုံးဖြတ်ချက်သည် မဲရုံးမှူးပေါ်တွင်သာ မူတည်ပါသည်။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၃.၁ (၂)
